param_clf__lr,param_clf__max_epochs,param_clf__optimizer__weight_decay,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
0.003,60,0.001,0.9509210391838586,0.022725860491908764,0.8942215433119088,0.007986616360866656,1
0.003,60,0.0,0.9656915577936035,0.01053653508537811,0.8936067273657224,0.006173611410382868,2
0.003,60,0.0001,0.9639123410967466,0.013096890975955278,0.8912901393082782,0.00739659084759143,3
0.003,30,0.0001,0.9382195479504197,0.01725655056377557,0.8839927055784994,0.006543629339049998,4
0.01,30,0.001,0.9428924797952568,0.02076117495463203,0.8803027899761929,0.013908255571014917,5
0.003,30,0.001,0.9299015144364183,0.012553980912449246,0.877491600637569,0.014274355979868857,6
0.001,60,0.0,0.9426203527510044,0.0075482607811372445,0.8767393081727292,0.003624442045339619,7
0.003,30,0.0,0.9400655311700274,0.009267600559763499,0.8763863816791941,0.006896310829123329,8
0.001,60,0.001,0.9388461334929431,0.006492984227616034,0.8750524447022681,0.00351848009834475,9
0.01,30,0.0001,0.9401905362859848,0.025875898963668445,0.8741557333236412,0.024005408316046903,10
0.001,60,0.0001,0.9393542724845156,0.007454211589389066,0.8739091263856498,0.003886552512552033,11
0.01,60,0.001,0.9438888986454067,0.03377411131992613,0.8727788384182837,0.03931690869178878,12
0.01,60,0.0,0.9352980423324759,0.03663269516770504,0.8719694457193488,0.028877988898058076,13
0.01,60,0.0001,0.9254311908601206,0.07646296700420721,0.866701414120695,0.06683616565296556,14
0.01,30,0.0,0.9278237932038789,0.03646730377967708,0.8657188763543221,0.02786013026609952,15
0.001,30,0.0,0.9017605841126535,0.009758321342250008,0.8464316655976682,0.01436289117363911,16
0.001,30,0.0001,0.9045195171935319,0.003257919989626327,0.8447475891388067,0.007947162417590858,17
0.001,30,0.001,0.8961687092780111,0.015772629311135457,0.843164724929083,0.019354934120315536,18
